"","age_group","education_recode","sex_label","Westminster.Parliamentary.constituencies.Code","total_observations","avg_predicted_turnout_prob","avg_con","avg_lab","avg_lib","avg_other","scale_factor_con","scale_factor_lab","scale_factor_lib","scale_factor_other","scaled_est_votes_con","scaled_est_votes_lab","scaled_est_votes_lib","scaled_est_votes_other"
"50","Aged 60 to 74 years","No/Low Qualifications","Male","E14000531",622,0.850662731496718,0.602615763546798,0.172246305418719,0.0801096059113301,0.145028325123153,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,399,49,15,11
"51","Aged 60 to 74 years","Intermediate Qualifications","Female","E14000531",1441,0.865084359146655,0.466866,0.2333,0.144008,0.155826,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,728,158,63,28
"52","Aged 60 to 74 years","Intermediate Qualifications","Male","E14000531",1544,0.915047324195351,0.501252577319588,0.190675257731959,0.154103092783505,0.153969072164948,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,886,146,76,32
"53","Aged 60 to 74 years","Advanced/Higher Education","Female","E14000531",79,0.923766388047126,0.472252016129032,0.250925403225806,0.147971774193548,0.128850806451613,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,43,10,4,1
"54","Aged 60 to 74 years","Advanced/Higher Education","Male","E14000531",65,0.929587560286234,0.524350274725275,0.202287087912088,0.142520604395604,0.130842032967033,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,40,7,3,1
"55","Aged 60 to 74 years","Other/Not Categorized","Female","E14000531",433,0.881373014336882,0.519384615384615,0.175543269230769,0.137216346153846,0.167855769230769,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,248,36,18,9
"56","Aged 60 to 74 years","Other/Not Categorized","Male","E14000531",260,0.922599352896214,0.552776785714286,0.155125,0.100535714285714,0.1915625,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,166,20,8,7
"57","Aged 75 years and over","No/Low Qualifications","Female","E14000531",5152,0.798685365147138,0.61584496124031,0.204831395348837,0.0789205426356589,0.100403100775194,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,3171,457,113,60
"58","Aged 75 years and over","No/Low Qualifications","Male","E14000531",3008,0.884141170233488,0.66098,0.15003,0.0905375,0.0984525,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,2200,216,84,38
"59","Aged 75 years and over","Intermediate Qualifications","Female","E14000531",2821,0.932649219798487,0.504,0.232726744186047,0.158447674418605,0.104825581395349,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,1659,332,146,40
"60","Aged 75 years and over","Intermediate Qualifications","Male","E14000531",4205,0.944739497088371,0.553436170212766,0.173547872340426,0.176808510638298,0.0962074468085106,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,2751,374,245,55
"61","Aged 75 years and over","Advanced/Higher Education","Female","E14000531",645,0.942179048997025,0.516488372093023,0.243372093023256,0.143593023255814,0.096546511627907,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,393,80,30,8
"62","Aged 75 years and over","Advanced/Higher Education","Male","E14000531",322,0.938747664418402,0.574091772151899,0.181857594936709,0.148496835443038,0.0955537974683544,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,217,30,16,4
"63","Aged 75 years and over","Other/Not Categorized","Female","E14000531",1137,0.920863205956858,0.57496511627907,0.160232558139535,0.149098837209302,0.115703488372093,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,753,91,55,18
"64","Aged 75 years and over","Other/Not Categorized","Male","E14000531",479,0.931479934453964,0.58068,0.13158,0.15607,0.13167,1.25143869448295,0.542490193816285,0.349271448459021,0.144845696377029,324,32,24,9
"65","Aged 20 to 39 years","No/Low Qualifications","Female","E14000532",363,0.497131812132218,0.297177272727273,0.477418181818182,0.0532,0.172204545454545,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,53,91,6,7
"66","Aged 20 to 39 years","No/Low Qualifications","Male","E14000532",435,0.720064207549919,0.346170588235294,0.404432352941176,0.0751411764705882,0.174255882352941,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,107,134,16,13
"67","Aged 20 to 39 years","Intermediate Qualifications","Female","E14000532",10127,0.760181316887431,0.227132716049383,0.497472222222222,0.112260802469136,0.163134259259259,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,1726,4062,580,290
"68","Aged 20 to 39 years","Intermediate Qualifications","Male","E14000532",9031,0.843580019214879,0.257627717391304,0.433054347826087,0.141222826086957,0.168095108695652,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,1937,3499,722,296
"69","Aged 20 to 39 years","Advanced/Higher Education","Female","E14000532",88,0.76430544380396,0.237481939163498,0.518953422053232,0.105027566539924,0.138537072243346,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,16,37,5,2
"70","Aged 20 to 39 years","Advanced/Higher Education","Male","E14000532",87,0.821502463527672,0.264875,0.464010869565217,0.12794972826087,0.143164402173913,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,19,35,6,2
"71","Aged 20 to 39 years","Other/Not Categorized","Female","E14000532",391,0.678079945594072,0.2752,0.4318125,0.1155125,0.177475,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,72,121,21,11
"72","Aged 20 to 39 years","Other/Not Categorized","Male","E14000532",547,0.838263124227524,0.314725,0.3309,0.1485,0.205875,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,142,161,46,22
"73","Aged 40 to 59 years","No/Low Qualifications","Female","E14000532",796,0.765625301814644,0.457488165680473,0.301346153846154,0.0702041420118343,0.170961538461538,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,275,195,29,24
"74","Aged 40 to 59 years","No/Low Qualifications","Male","E14000532",910,0.81011129710181,0.514943965517241,0.235811781609195,0.0808103448275862,0.168433908045977,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,375,184,40,29
"75","Aged 40 to 59 years","Intermediate Qualifications","Female","E14000532",12898,0.869428382689754,0.378766666666667,0.308754444444444,0.143048888888889,0.16943,0.987149298636044,1.0607023475195,0.67129228338423,0.231067699677529,4193,3673,1077,439
